group,sector,year,quarter,total
Industry,Mining and Quarrying,2013,3,247
Industry,Mining and Quarrying,2013,4,223
Industry,Mining and Quarrying,2014,1,222
Industry,Mining and Quarrying,2014,2,253
Industry,Mining and Quarrying,2014,3,240
Industry,Mining and Quarrying,2014,4,225
Industry,Mining and Quarrying,2015,1,231
Industry,Mining and Quarrying,2015,2,255
Industry,Mining and Quarrying,2015,3,240
Industry,Mining and Quarrying,2015,4,216
Industry,Mining and Quarrying,2016,1,215
Industry,Mining and Quarrying,2016,2,215
Industry,Mining and Quarrying,2016,3,227
Industry,Mining and Quarrying,2016,4,221
Industry,Mining and Quarrying,2017,1,179
Industry,Mining and Quarrying,2017,2,223
Industry,Manufacturing,2001,1,2885
Industry,Manufacturing,2001,2,2912
Industry,Manufacturing,2001,3,2934
Industry,Manufacturing,2001,4,2892
Industry,Manufacturing,2002,1,2830
Industry,Manufacturing,2002,2,2904
Industry,Manufacturing,2002,3,2888
Industry,Manufacturing,2002,4,2855
Industry,Manufacturing,2003,1,2781
Industry,Manufacturing,2003,2,2892
Industry,Manufacturing,2003,3,3044
Industry,Manufacturing,2003,4,3046
Industry,Manufacturing,2004,1,3104
Industry,Manufacturing,2004,2,3063
Industry,Manufacturing,2004,3,3056
Industry,Manufacturing,2004,4,3020
Industry,Manufacturing,2005,1,2995
Industry,Manufacturing,2005,2,3201
Industry,Manufacturing,2005,3,3068
Industry,Manufacturing,2005,4,3043
Industry,Manufacturing,2006,1,2977
Industry,Manufacturing,2006,2,3178
Industry,Manufacturing,2006,3,3066
Industry,Manufacturing,2006,4,3012
Industry,Manufacturing,2007,1,3041
Industry,Manufacturing,2007,2,3073
Industry,Manufacturing,2007,3,3063
Industry,Manufacturing,2007,4,3060
Industry,Manufacturing,2008,1,2963
Industry,Manufacturing,2008,2,2883
Industry,Manufacturing,2008,3,2960
Industry,Manufacturing,2008,4,2897
Industry,Manufacturing,2009,1,2849
Industry,Manufacturing,2009,2,2841
Industry,Manufacturing,2009,3,2947
Industry,Manufacturing,2009,4,2937
Industry,Manufacturing,2010,1,3009
Industry,Manufacturing,2010,2,3063
Industry,Manufacturing,2010,3,3003
Industry,Manufacturing,2010,4,3058
Industry,Manufacturing,2011,1,2952
Industry,Manufacturing,2011,2,3127
Industry,Manufacturing,2011,3,3071
Industry,Manufacturing,2011,4,3176
Industry,Manufacturing,2012,1,3021
Industry,Manufacturing,2012,2,3169
Industry,Manufacturing,2012,3,3201
Industry,Manufacturing,2012,4,3130
Industry,Manufacturing,2013,1,3165
Industry,Manufacturing,2013,2,3185
Industry,Manufacturing,2013,3,3140
Industry,Manufacturing,2013,4,3147
Industry,Manufacturing,2014,1,3079
Industry,Manufacturing,2014,2,3322
Industry,Manufacturing,2014,3,3181
Industry,Manufacturing,2014,4,3133
Industry,Manufacturing,2015,1,3177
Industry,Manufacturing,2015,2,3290
Industry,Manufacturing,2015,3,3241
Industry,Manufacturing,2015,4,3216
Industry,Manufacturing,2016,1,3297
Industry,Manufacturing,2016,2,3476
Industry,Manufacturing,2016,3,3374
Industry,Manufacturing,2016,4,3401
Industry,Manufacturing,2017,1,3281
Industry,Manufacturing,2017,2,3531
Industry,"Electricity, Gas and Water Supply",2001,1,116
Industry,"Electricity, Gas and Water Supply",2001,2,124
Industry,"Electricity, Gas and Water Supply",2001,3,118
Industry,"Electricity, Gas and Water Supply",2001,4,116
Industry,"Electricity, Gas and Water Supply",2002,1,120
Industry,"Electricity, Gas and Water Supply",2002,2,114
Industry,"Electricity, Gas and Water Supply",2002,3,108
Industry,"Electricity, Gas and Water Supply",2002,4,124
Industry,"Electricity, Gas and Water Supply",2003,1,117
Industry,"Electricity, Gas and Water Supply",2003,2,116
Industry,"Electricity, Gas and Water Supply",2003,3,102
Industry,"Electricity, Gas and Water Supply",2003,4,113
Industry,"Electricity, Gas and Water Supply",2004,1,110
Industry,"Electricity, Gas and Water Supply",2004,2,137
Industry,"Electricity, Gas and Water Supply",2004,3,110
Industry,"Electricity, Gas and Water Supply",2004,4,121
Industry,"Electricity, Gas and Water Supply",2005,1,128
Industry,"Electricity, Gas and Water Supply",2005,2,119
Industry,"Electricity, Gas and Water Supply",2005,3,111
Industry,"Electricity, Gas and Water Supply",2005,4,108
Industry,"Electricity, Gas and Water Supply",2006,1,133
Industry,"Electricity, Gas and Water Supply",2006,2,145
Industry,"Electricity, Gas and Water Supply",2006,3,114
Industry,"Electricity, Gas and Water Supply",2006,4,123
Industry,"Electricity, Gas and Water Supply",2007,1,124
Industry,"Electricity, Gas and Water Supply",2007,2,134
Industry,"Electricity, Gas and Water Supply",2007,3,141
Industry,"Electricity, Gas and Water Supply",2007,4,141
Industry,"Electricity, Gas and Water Supply",2008,1,126
Industry,"Electricity, Gas and Water Supply",2008,2,123
Industry,"Electricity, Gas and Water Supply",2008,3,146
Industry,"Electricity, Gas and Water Supply",2008,4,123
Industry,"Electricity, Gas and Water Supply",2009,1,134
Industry,"Electricity, Gas and Water Supply",2009,2,130
Industry,"Electricity, Gas and Water Supply",2009,3,145
Industry,"Electricity, Gas and Water Supply",2009,4,160
Industry,"Electricity, Gas and Water Supply",2010,1,157
Industry,"Electricity, Gas and Water Supply",2010,2,137
Industry,"Electricity, Gas and Water Supply",2010,3,141
Industry,"Electricity, Gas and Water Supply",2010,4,163
Industry,"Electricity, Gas and Water Supply",2011,1,130
Industry,"Electricity, Gas and Water Supply",2011,2,139
Industry,"Electricity, Gas and Water Supply",2011,3,178
Industry,"Electricity, Gas and Water Supply",2011,4,143
Industry,"Electricity, Gas and Water Supply",2012,1,94
Industry,"Electricity, Gas and Water Supply",2012,2,92
Industry,"Electricity, Gas and Water Supply",2012,3,95
Industry,"Electricity, Gas and Water Supply",2012,4,97
Industry,"Electricity, Gas and Water Supply",2013,1,94
Industry,"Electricity, Gas and Water Supply",2013,2,86
Industry,"Electricity, Gas and Water Supply",2013,3,100
Industry,"Electricity, Gas and Water Supply",2013,4,98
Industry,"Electricity, Gas and Water Supply",2014,1,83
Industry,"Electricity, Gas and Water Supply",2014,2,100
Industry,"Electricity, Gas and Water Supply",2014,3,77
Industry,"Electricity, Gas and Water Supply",2014,4,80
Industry,"Electricity, Gas and Water Supply",2015,1,93
Industry,"Electricity, Gas and Water Supply",2015,2,84
Industry,"Electricity, Gas and Water Supply",2015,3,83
Industry,"Electricity, Gas and Water Supply",2015,4,77
Industry,"Electricity, Gas and Water Supply",2016,1,87
Industry,"Electricity, Gas and Water Supply",2016,2,97
Industry,"Electricity, Gas and Water Supply",2016,3,104
Industry,"Electricity, Gas and Water Supply",2016,4,77
Industry,"Electricity, Gas and Water Supply",2017,1,87
Industry,"Electricity, Gas and Water Supply",2017,2,75
Industry,Construction,2001,1,1563
Industry,Construction,2001,2,1651
Industry,Construction,2001,3,1556
Industry,Construction,2001,4,1571
Industry,Construction,2002,1,1531
Industry,Construction,2002,2,1666
Industry,Construction,2002,3,1597
Industry,Construction,2002,4,1589
Industry,Construction,2003,1,1585
Industry,Construction,2003,2,1747
Industry,Construction,2003,3,1712
Industry,Construction,2003,4,1688
Industry,Construction,2004,1,1713
Industry,Construction,2004,2,1792
Industry,Construction,2004,3,1653
Industry,Construction,2004,4,1643
Industry,Construction,2005,1,1725
Industry,Construction,2005,2,1781
Industry,Construction,2005,3,1709
Industry,Construction,2005,4,1616
Industry,Construction,2006,1,1652
Industry,Construction,2006,2,1740
Industry,Construction,2006,3,1694
Industry,Construction,2006,4,1627
Industry,Construction,2007,1,1668
Industry,Construction,2007,2,1863
Industry,Construction,2007,3,1841
Industry,Construction,2007,4,1740
Industry,Construction,2008,1,1740
Industry,Construction,2008,2,1843
Industry,Construction,2008,3,1870
Industry,Construction,2008,4,1882
Industry,Construction,2009,1,1721
Industry,Construction,2009,2,1951
Industry,Construction,2009,3,2004
Industry,Construction,2009,4,1888
Industry,Construction,2010,1,1963
Industry,Construction,2010,2,2075
Industry,Construction,2010,3,2071
Industry,Construction,2010,4,1957
Industry,Construction,2011,1,1998
Industry,Construction,2011,2,2123
Industry,Construction,2011,3,2175
Industry,Construction,2011,4,2066
Industry,Construction,2012,1,2094
Industry,Construction,2012,2,2312
Industry,Construction,2012,3,2304
Industry,Construction,2012,4,2177
Industry,Construction,2013,1,2284
Industry,Construction,2013,2,2479
Industry,Construction,2013,3,2425
Industry,Construction,2013,4,2304
Industry,Construction,2014,1,2343
Industry,Construction,2014,2,2624
Industry,Construction,2014,3,2555
Industry,Construction,2014,4,2556
Industry,Construction,2015,1,2519
Industry,Construction,2015,2,2791
Industry,Construction,2015,3,2853
Industry,Construction,2015,4,2773
Industry,Construction,2016,1,3045
Industry,Construction,2016,2,3528
Industry,Construction,2016,3,3503
Industry,Construction,2016,4,3403
Industry,Construction,2017,1,3215
Industry,Construction,2017,2,3544
Services,Wholesale and Retail Trade,2001,1,4964
Services,Wholesale and Retail Trade,2001,2,5250
Services,Wholesale and Retail Trade,2001,3,5278
Services,Wholesale and Retail Trade,2001,4,5526
Services,Wholesale and Retail Trade,2002,1,5518
Services,Wholesale and Retail Trade,2002,2,5773
Services,Wholesale and Retail Trade,2002,3,5538
Services,Wholesale and Retail Trade,2002,4,5621
Services,Wholesale and Retail Trade,2003,1,5599
Services,Wholesale and Retail Trade,2003,2,5636
Services,Wholesale and Retail Trade,2003,3,5509
Services,Wholesale and Retail Trade,2003,4,5661
Services,Wholesale and Retail Trade,2004,1,5823
Services,Wholesale and Retail Trade,2004,2,5974
Services,Wholesale and Retail Trade,2004,3,5901
Services,Wholesale and Retail Trade,2004,4,5778
Services,Wholesale and Retail Trade,2005,1,5910
Services,Wholesale and Retail Trade,2005,2,6398
Services,Wholesale and Retail Trade,2005,3,6064
Services,Wholesale and Retail Trade,2005,4,6215
Services,Wholesale and Retail Trade,2006,1,5996
Services,Wholesale and Retail Trade,2006,2,6501
Services,Wholesale and Retail Trade,2006,3,6406
Services,Wholesale and Retail Trade,2006,4,6227
Services,Wholesale and Retail Trade,2007,1,6418
Services,Wholesale and Retail Trade,2007,2,6450
Services,Wholesale and Retail Trade,2007,3,6370
Services,Wholesale and Retail Trade,2007,4,6176
Services,Wholesale and Retail Trade,2008,1,6333
Services,Wholesale and Retail Trade,2008,2,6322
Services,Wholesale and Retail Trade,2008,3,6599
Services,Wholesale and Retail Trade,2008,4,6528
Services,Wholesale and Retail Trade,2009,1,6635
Services,Wholesale and Retail Trade,2009,2,6681
Services,Wholesale and Retail Trade,2009,3,6725
Services,Wholesale and Retail Trade,2009,4,6901
Services,Wholesale and Retail Trade,2010,1,7064
Services,Wholesale and Retail Trade,2010,2,6885
Services,Wholesale and Retail Trade,2010,3,7030
Services,Wholesale and Retail Trade,2010,4,7158
Services,Wholesale and Retail Trade,2011,1,7275
Services,Wholesale and Retail Trade,2011,2,7251
Services,Wholesale and Retail Trade,2011,3,7300
Services,Wholesale and Retail Trade,2011,4,7778
Services,Hotels and Restaurants,2001,1,668
Services,Hotels and Restaurants,2001,2,656
Services,Hotels and Restaurants,2001,3,649
Services,Hotels and Restaurants,2001,4,700
Services,Hotels and Restaurants,2002,1,676
Services,Hotels and Restaurants,2002,2,680
Services,Hotels and Restaurants,2002,3,704
Services,Hotels and Restaurants,2002,4,713
Services,Hotels and Restaurants,2003,1,719
Services,Hotels and Restaurants,2003,2,709
Services,Hotels and Restaurants,2003,3,780
Services,Hotels and Restaurants,2003,4,793
Services,Hotels and Restaurants,2004,1,830
Services,Hotels and Restaurants,2004,2,791
Services,Hotels and Restaurants,2004,3,805
Services,Hotels and Restaurants,2004,4,798
Services,Hotels and Restaurants,2005,1,836
Services,Hotels and Restaurants,2005,2,877
Services,Hotels and Restaurants,2005,3,859
Services,Hotels and Restaurants,2005,4,871
Services,Hotels and Restaurants,2006,1,867
Services,Hotels and Restaurants,2006,2,919
Services,Hotels and Restaurants,2006,3,873
Services,Hotels and Restaurants,2006,4,914
Services,Hotels and Restaurants,2007,1,964
Services,Hotels and Restaurants,2007,2,869
Services,Hotels and Restaurants,2007,3,889
Services,Hotels and Restaurants,2007,4,907
Services,Hotels and Restaurants,2008,1,964
Services,Hotels and Restaurants,2008,2,924
Services,Hotels and Restaurants,2008,3,984
Services,Hotels and Restaurants,2008,4,941
Services,Hotels and Restaurants,2009,1,988
Services,Hotels and Restaurants,2009,2,976
Services,Hotels and Restaurants,2009,3,1064
Services,Hotels and Restaurants,2009,4,1012
Services,Hotels and Restaurants,2010,1,1104
Services,Hotels and Restaurants,2010,2,991
Services,Hotels and Restaurants,2010,3,1037
Services,Hotels and Restaurants,2010,4,1119
Services,Hotels and Restaurants,2011,1,1064
Services,Hotels and Restaurants,2011,2,1043
Services,Hotels and Restaurants,2011,3,1164
Services,Hotels and Restaurants,2011,4,1202
Services,"Transport, Storage and Communications",2001,1,2081
Services,"Transport, Storage and Communications",2001,2,2108
Services,"Transport, Storage and Communications",2001,3,2112
Services,"Transport, Storage and Communications",2001,4,2171
Services,"Transport, Storage and Communications",2002,1,2167
Services,"Transport, Storage and Communications",2002,2,2104
Services,"Transport, Storage and Communications",2002,3,2205
Services,"Transport, Storage and Communications",2002,4,2171
Services,"Transport, Storage and Communications",2003,1,2248
Services,"Transport, Storage and Communications",2003,2,2287
Services,"Transport, Storage and Communications",2003,3,2354
Services,"Transport, Storage and Communications",2003,4,2352
Services,"Transport, Storage and Communications",2004,1,2436
Services,"Transport, Storage and Communications",2004,2,2359
Services,"Transport, Storage and Communications",2004,3,2465
Services,"Transport, Storage and Communications",2004,4,2446
Services,"Transport, Storage and Communications",2005,1,2526
Services,"Transport, Storage and Communications",2005,2,2389
Services,"Transport, Storage and Communications",2005,3,2419
Services,"Transport, Storage and Communications",2005,4,2471
Services,"Transport, Storage and Communications",2006,1,2547
Services,"Transport, Storage and Communications",2006,2,2479
Services,"Transport, Storage and Communications",2006,3,2472
Services,"Transport, Storage and Communications",2006,4,2469
Services,"Transport, Storage and Communications",2007,1,2604
Services,"Transport, Storage and Communications",2007,2,2553
Services,"Transport, Storage and Communications",2007,3,2637
Services,"Transport, Storage and Communications",2007,4,2600
Services,"Transport, Storage and Communications",2008,1,2674
Services,"Transport, Storage and Communications",2008,2,2575
Services,"Transport, Storage and Communications",2008,3,2525
Services,"Transport, Storage and Communications",2008,4,2587
Services,"Transport, Storage and Communications",2009,1,2660
Services,"Transport, Storage and Communications",2009,2,2628
Services,"Transport, Storage and Communications",2009,3,2694
Services,"Transport, Storage and Communications",2009,4,2735
Services,"Transport, Storage and Communications",2010,1,2735
Services,"Transport, Storage and Communications",2010,2,2741
Services,"Transport, Storage and Communications",2010,3,2704
Services,"Transport, Storage and Communications",2010,4,2711
Services,"Transport, Storage and Communications",2011,1,2802
Services,"Transport, Storage and Communications",2011,2,2697
Services,"Transport, Storage and Communications",2011,3,2801
Services,"Transport, Storage and Communications",2011,4,2799
Services,Financial Intermediation,2001,1,285
Services,Financial Intermediation,2001,2,277
Services,Financial Intermediation,2001,3,292
Services,Financial Intermediation,2001,4,314
Services,Financial Intermediation,2002,1,299
Services,Financial Intermediation,2002,2,301
Services,Financial Intermediation,2002,3,329
Services,Financial Intermediation,2002,4,318
Services,Financial Intermediation,2003,1,285
Services,Financial Intermediation,2003,2,286
Services,Financial Intermediation,2003,3,311
Services,Financial Intermediation,2003,4,329
Services,Financial Intermediation,2004,1,327
Services,Financial Intermediation,2004,2,339
Services,Financial Intermediation,2004,3,348
Services,Financial Intermediation,2004,4,298
Services,Financial Intermediation,2005,1,304
Services,Financial Intermediation,2005,2,364
Services,Financial Intermediation,2005,3,358
Services,Financial Intermediation,2005,4,337
Services,Financial Intermediation,2006,1,343
Services,Financial Intermediation,2006,2,337
Services,Financial Intermediation,2006,3,346
Services,Financial Intermediation,2006,4,372
Services,Financial Intermediation,2007,1,344
Services,Financial Intermediation,2007,2,343
Services,Financial Intermediation,2007,3,365
Services,Financial Intermediation,2007,4,384
Services,Financial Intermediation,2008,1,364
Services,Financial Intermediation,2008,2,366
Services,Financial Intermediation,2008,3,369
Services,Financial Intermediation,2008,4,373
Services,Financial Intermediation,2009,1,337
Services,Financial Intermediation,2009,2,389
Services,Financial Intermediation,2009,3,376
Services,Financial Intermediation,2009,4,375
Services,Financial Intermediation,2010,1,384
Services,Financial Intermediation,2010,2,383
Services,Financial Intermediation,2010,3,420
Services,Financial Intermediation,2010,4,412
Services,Financial Intermediation,2011,1,447
Services,Financial Intermediation,2011,2,406
Services,Financial Intermediation,2011,3,418
Services,Financial Intermediation,2011,4,466
Services,"Real Estate, Renting and Business",2001,1,490
Services,"Real Estate, Renting and Business",2001,2,506
Services,"Real Estate, Renting and Business",2001,3,533
Services,"Real Estate, Renting and Business",2001,4,534
Services,"Real Estate, Renting and Business",2002,1,537
Services,"Real Estate, Renting and Business",2002,2,552
Services,"Real Estate, Renting and Business",2002,3,525
Services,"Real Estate, Renting and Business",2002,4,560
Services,"Real Estate, Renting and Business",2003,1,562
Services,"Real Estate, Renting and Business",2003,2,563
Services,"Real Estate, Renting and Business",2003,3,715
Services,"Real Estate, Renting and Business",2003,4,716
Services,"Real Estate, Renting and Business",2004,1,697
Services,"Real Estate, Renting and Business",2004,2,669
Services,"Real Estate, Renting and Business",2004,3,691
Services,"Real Estate, Renting and Business",2004,4,702
Services,"Real Estate, Renting and Business",2005,1,711
Services,"Real Estate, Renting and Business",2005,2,775
Services,"Real Estate, Renting and Business",2005,3,715
Services,"Real Estate, Renting and Business",2005,4,736
Services,"Real Estate, Renting and Business",2006,1,755
Services,"Real Estate, Renting and Business",2006,2,814
Services,"Real Estate, Renting and Business",2006,3,808
Services,"Real Estate, Renting and Business",2006,4,813
Services,"Real Estate, Renting and Business",2007,1,910
Services,"Real Estate, Renting and Business",2007,2,907
Services,"Real Estate, Renting and Business",2007,3,842
Services,"Real Estate, Renting and Business",2007,4,881
Services,"Real Estate, Renting and Business",2008,1,904
Services,"Real Estate, Renting and Business",2008,2,953
Services,"Real Estate, Renting and Business",2008,3,969
Services,"Real Estate, Renting and Business",2008,4,985
Services,"Real Estate, Renting and Business",2009,1,1044
Services,"Real Estate, Renting and Business",2009,2,1023
Services,"Real Estate, Renting and Business",2009,3,1090
Services,"Real Estate, Renting and Business",2009,4,1100
Services,"Real Estate, Renting and Business",2010,1,1119
Services,"Real Estate, Renting and Business",2010,2,1061
Services,"Real Estate, Renting and Business",2010,3,1166
Services,"Real Estate, Renting and Business",2010,4,1239
Services,"Real Estate, Renting and Business",2011,1,1195
Services,"Real Estate, Renting and Business",2011,2,1277
Services,"Real Estate, Renting and Business",2011,3,1214
Services,"Real Estate, Renting and Business",2011,4,1340
Services,"Public Administration and Defense, Compulsory Social Security",2001,1,1380
Services,"Public Administration and Defense, Compulsory Social Security",2001,2,1402
Services,"Public Administration and Defense, Compulsory Social Security",2001,3,1360
Services,"Public Administration and Defense, Compulsory Social Security",2001,4,1385
Services,"Public Administration and Defense, Compulsory Social Security",2002,1,1424
Services,"Public Administration and Defense, Compulsory Social Security",2002,2,1445
Services,"Public Administration and Defense, Compulsory Social Security",2002,3,1439
Services,"Public Administration and Defense, Compulsory Social Security",2002,4,1461
